代码,名称,涨幅,现价,涨跌,买价,现量,量比,卖价,总量,涨速,换手,今开,最高,最低,昨收,市盈(动),总金额,买价,细分行业,地区,振幅,均价,内盘,外盘,内外比,买量,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度,活跃度,笔均量,笔换手,开盘,最高,最低,均涨幅,实体涨幅,回头波,攻击波,财务更新,上市日期,总股本(万),B股(或A),H股,
600048,保利地产,4.41,9.48,0.40,9.46,225,2.46,9.47,1984262,0.00,1.84,9.18,9.97,9.07,9.08,11.82,1882179072,9.46,全国地产,广东,9.91,9.49,789394,1194867,0.66,445,117,--,1075671.50,1019.74,1019.74,2.72,2851,696,0.0006,1.10,9.80,-0.11,4.47,3.27,-4.91,4.52,20160107,20060731,1075671.50,0.00,0.00,
600095,哈高科,-2.25,8.26,-0.19,8.25,70,0.87,8.26,175452,-1.07,4.86,8.12,8.48,7.90,8.45,--,144663328,8.25,区域地产,黑龙江,6.86,8.25,86707,88744,0.98,285,10,--,36126.35,29.84,29.84,-3.93,2203,80,0.0022,-3.91,0.36,-6.51,-2.42,1.72,-2.59,4.56,20151031,19970708,36126.35,0.00,0.00,
600101,明星电力,-2.30,11.89,-0.28,11.89,98,2.37,11.90,631696,-0.08,19.49,11.59,12.74,10.95,12.17,33.09,749042752,11.89,水力发电,四川,14.71,11.86,288070,343625,0.84,28,119,--,32417.90,38.54,38.54,-3.98,2798,226,0.0070,-4.77,4.68,-10.02,-2.57,2.59,-6.67,8.58,20151029,19970627,32417.90,0.00,0.00,
600216,浙江医药,3.61,13.50,0.47,13.51,625,1.12,13.52,519173,0.29,5.55,12.70,13.75,12.66,13.03,50.17,688059072,13.51,化学制药,浙江,8.37,13.25,227402,291771,0.78,13,149,--,93610.38,126.37,126.37,1.93,2590,200,0.0021,-2.53,5.53,-2.84,1.71,6.30,-1.82,6.64,20151028,19991021,93610.79,0.00,0.00,
600297,广汇汽车,-4.44,12.27,-0.57,12.25,17,1.19,12.26,184758,0.00,3.52,11.89,12.84,11.56,12.84,40.67,222371824,12.25,汽车服务,辽宁,9.97,12.04,94526,90231,1.05,64,273,--,52500.00,64.42,674.90,-6.12,2433,76,0.0014,-7.40,0.00,-9.97,-6.26,3.20,-4.44,6.14,20151116,20001116,550040.06,0.00,0.00,
600366,宁波韵升,5.38,19.01,0.97,19.03,72,1.10,19.04,369682,-0.20,7.19,17.99,19.40,17.50,18.04,26.46,684706752,19.03,电器仪表,浙江,10.53,18.52,172665,197016,0.88,66,774,--,51449.76,97.81,105.78,3.70,2607,142,0.0028,-0.28,7.54,-2.99,2.67,5.67,-2.01,8.63,20151230,20001030,55642.19,0.00,0.00,
600376,首开股份,5.41,10.13,0.52,10.14,128,2.07,10.15,719975,0.19,3.21,9.65,10.43,9.36,9.61,10.96,722610560,10.14,区域地产,北京,11.13,10.04,342610,377364,0.91,294,663,--,224201.25,227.12,227.12,3.73,2706,266,0.0012,0.42,8.53,-2.60,4.44,4.97,-2.88,8.23,20151029,20010312,224201.25,0.00,0.00,
600395,盘江股份,2.55,9.26,0.23,9.28,15,1.17,9.29,560659,0.43,3.39,9.00,9.62,8.76,9.03,789.91,519100800,9.28,煤炭开采,贵州,9.52,9.26,286337,274321,1.04,753,269,--,165505.19,153.26,153.26,0.87,2729,205,0.0012,-0.33,6.53,-2.99,2.53,2.89,-3.74,5.71,20151030,20010531,165505.19,0.00,0.00,
600477,杭萧钢构,1.10,11.95,0.13,11.93,50,0.90,11.96,162779,0.00,2.69,11.72,12.20,11.63,11.82,61.86,195152752,11.93,钢加工,浙江,4.82,11.99,79919,82860,0.96,159,97,--,60594.96,72.41,96.71,-0.58,2325,70,0.0012,-0.85,3.21,-1.61,1.43,1.96,-2.05,2.75,20151231,20031110,80925.65,0.00,0.00,
600489,中金黄金,7.25,10.94,0.74,10.94,106,1.49,10.95,1313012,-0.09,4.46,10.34,11.17,10.20,10.20,293.91,1417830400,10.94,黄金,北京,9.51,10.80,581094,731918,0.79,452,437,--,294322.88,321.99,321.99,5.57,2838,463,0.0016,1.37,9.51,0.00,5.87,5.80,-2.06,7.25,20151030,20030814,294322.88,0.00,0.00,
